药品ID,药品名称,功效,保质期,生产批号,存放位置,分区,录入时间,照片路径,状态
med_001,金银花口服液,清热解毒，疏散风热,2027-08-31,2509313,,A,2026-03-22,"photos/file_3---402a018b-f8c0-4f33-8974-c57455bebcf1.jpg;photos/file_4---6c9685f9-af68-498f-930d-547c29604368.jpg",active
med_002,金花清感颗粒,疏风宣肺，清热解毒,2026-10-23,23101701,,B,2026-03-22,"photos/file_5---e2988fe1-f118-4eb6-bfbb-aee140219028.jpg;photos/file_6---ea7c2897-383f-4e57-af23-778927f1d15f.jpg",active
med_003,复方氨酚烷胺片（感康）,缓解感冒症状,2025-06-30,2207002,,C,2026-03-22,"photos/file_7---e17c1180-67e3-4ad0-9ef7-cc80086590f2.jpg",active
med_004,香清解口服液,疏散风热，清泻里热，解毒利咽,2027-04-30,310724019,,A,2026-03-22,"photos/file_8---19e50923-81be-47e3-9a4e-5cf8ff408fb5.jpg;photos/file_9---236cd8a1-4e8f-4ae4-97ae-17531b9af007.jpg",active
med_005,美愈伪麻口服溶液,缓解感冒症状,2024-02-29,2303,,B,2026-03-22,"photos/file_10---3ac6169f-fc83-48e9-b6e5-297af4907fbe.jpg;photos/file_11---c9173d30-87e5-4a15-8a9e-8c0b0f1f6487.jpg",active
med_006,风湿二十五味丸,燥"协日乌素"，散瘀。用于游痛风症，关节炎，类风湿,2026-09-30,231011117,,C,2026-03-22,"photos/file_12---a3560093-85af-422c-b6d8-e9d88455ccd7.jpg;photos/file_13---ec5a959a-de66-444d-9a88-0d8e55957de5.jpg",active
med_007,感冒清热颗粒（无蔗糖）,疏风散寒，解表清热,2026-01-31,23110955,,A,2026-03-22,"photos/file_14---4a2a1f0c-b302-46f1-86e4-a6d82f3d9fd4.jpg;photos/file_15---874cc5ec-152c-43e8-9634-da1f4581886f.jpg",active
med_008,滑膜炎颗粒,清热祛湿，活血通络,2026-09-30,23102621,,B,2026-03-22,"photos/file_16---e959ec63-7839-4749-af76-28ef1585c74d.jpg;photos/file_17---4d4deb27-3d35-4156-a3e5-2d2453849af1.jpg",active
med_009,复方氨酚烷胺片（感康）,缓解感冒症状,2025-06-30,2305286,,C,2026-03-22,"photos/file_18---ec4907ab-b0bc-4d3e-bddc-bd9ae1fbcacd.jpg",active
med_010,藿香正气胶囊,解表化湿，理气和中,2026-04-30,2305286,,A,2026-03-22,"photos/file_19---3c9c002a-6599-4ec6-a837-d34129786da4.jpg;photos/file_20---6d2c556d-9417-4678-8c08-1ddf401ea7b7.jpg",active
med_011,西瓜霜润喉片,清音利咽，消肿止痛,2026-05-06,23050701,,B,2026-03-22,"photos/file_21---827e3261-4650-4097-bb5a-62cec79d04eb.jpg",active
med_012,人参健脾丸,健脾益气，和胃止泻,2028-07-31,230109962,,C,2026-03-22,"photos/file_22---72f2c879-ce1d-476f-8756-19eeb81caf21.jpg;photos/file_23---0b698e96-a8cd-4d5f-a8ce-d692c501e85e.jpg",active
med_013,甲钴胺片,治疗周围神经病,2026-11-30,240110,,A,2026-03-22,"photos/file_24---0649925b-c999-46c1-9bf0-6e0e57e9f324.jpg;photos/file_25---cde287f8-5cd5-4de2-abce-a8d5836fb43e.jpg",active
med_014,阿昔洛韦片,抗病毒（单纯疱疹、带状疱疹、水痘）,2027-08-09,20240801,,B,2026-03-22,"photos/file_27---b18b7f8c-8abc-43d1-b5d4-0be3debca528.jpg;photos/file_26---b9272358-67c8-4cad-bf0d-1ddd8b5173be.jpg",active
med_015,乳酸菌素片,用于肠内异常发酵、消化不良、肠炎和小儿腹泻,2026-01-31,20240206,,C,2026-03-22,"photos/file_28---b14c59f5-f88d-4ad6-b500-ae1a8d4b53a4.jpg;photos/file_29---37df554e-0274-400f-bc79-2da3933b69e5.jpg",active
med_016,三黄片,清热解毒，泻火通便,2026-08-31,230906,,A,2026-03-22,"photos/file_30---78066c08-f2af-4177-a3fe-e27c19ef2232.jpg",active
med_017,枸橼酸莫沙必利片,改善胃肠动力减弱引起的消化道症状,2026-04-30,230511,,B,2026-03-22,"photos/file_31---2cd15199-81b7-4d34-882f-56279c877148.jpg;photos/file_32---428b21d5-f2ef-4461-adbd-4bcdea3ed3eb.jpg",active
med_018,乳酸菌素片（利活）,用于肠内异常发酵、消化不良、肠炎和小儿腹泻,2026-12-31,25011010,,A,2026-03-22,"photos/file_33---f017232a-6d40-4cb1-883c-26aec01577cb.jpg;photos/file_34---78ee3d80-8b07-4dcb-8e37-3dc356e3766a.jpg",active
med_019,地衣芽孢杆菌活菌胶囊（京常乐）,用于细菌或真菌引起的急、慢性肠炎、腹泻,2025-03-31,220（部分模糊）,,B,2026-03-22,"photos/file_35---a3fa2b6e-e622-4da3-b060-86c36f272ee7.jpg;photos/file_36---6f77514d-5958-4ba4-b549-5b7a48f61b79.jpg",active
med_020,杏灵分散片,活血化瘀，用于血瘀型胸痹及轻度脑动脉硬化,2027-02-28,24032013,,C,2026-03-22,"photos/file_37---2c7a42f4-f38e-4a83-b526-7b5f98b518e1.jpg",active
med_021,香砂养胃丸,温中和胃，用于胃阳不足、湿阻气滞所致的胃痛、痞满,2030-03-31,25040901,,A,2026-03-22,"photos/file_38---ad7c6238-cb8f-40b7-abc1-4d68379c3ef3.jpg;photos/file_39---6eb9c152-9818-4ec6-91e4-4efc88d6b751.jpg",active
med_022,己酮可可碱缓释片（舒安灵）,改善微循环，用于周围血管疾病和脑血管疾病,2026-08-23,230824,,B,2026-03-22,"photos/file_40---f1e76e89-127c-4586-ba2a-d6ea5c44a75d.jpg;photos/file_41---6d63d757-bb54-4be7-b464-2d473d356a35.jpg",active
